,#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,1,Joel Embiid,46,32.9,29.6,9.5,19.3,49.5,1.3,3.7,36.9,9.2,11.3,81.3,2.0,9.2,11.2,4.5,1.0,1.4,3.0,32.9
1,2,Giannis Antetokounmpo,49,32.7,29.4,10.1,18.5,54.7,1.2,3.8,30.9,8.0,11.1,72.1,1.9,9.3,11.2,6.0,1.0,1.4,3.3,34.3
2,3,LeBron James,41,36.8,29.1,11.0,21.2,52.2,2.8,7.9,35.3,4.2,5.6,74.8,1.1,6.8,7.9,6.5,1.6,1.0,3.2,31.3
3,4,DeMar DeRozan,55,35.6,28.1,10.3,19.9,51.7,0.6,1.8,34.3,6.9,8.0,86.6,0.8,4.4,5.2,5.1,0.9,0.3,2.3,26.6
4,5,Trae Young,53,34.4,27.8,9.3,20.5,45.6,3.0,7.8,38.3,6.2,6.9,89.8,0.6,3.2,3.9,9.3,1.0,0.1,4.1,26.2
5,6,Luka Doncic,44,35.4,27.5,9.7,21.7,44.9,2.8,8.3,33.5,5.3,7.3,73.1,0.9,8.3,9.2,9.0,1.1,0.5,4.4,29.0
6,7,Ja Morant,46,33.2,26.8,10.0,20.2,49.5,1.5,4.5,33.0,5.3,7.0,75.5,1.3,4.5,5.8,6.9,1.2,0.4,3.4,25.8
7,8,Nikola Jokic,52,33.0,26.0,9.9,17.4,57.0,1.6,4.3,37.2,4.5,5.6,80.8,2.8,11.0,13.8,7.9,1.3,0.7,3.8,37.4
8,9,Stephen Curry,54,34.8,25.8,8.4,19.6,42.7,4.6,12.3,37.9,4.4,4.8,91.9,0.6,4.7,5.3,6.3,1.4,0.4,3.2,24.3
9,10,Donovan Mitchell,46,33.4,25.7,9.3,20.3,45.6,3.3,9.5,35.1,3.9,4.5,87.3,0.9,3.3,4.2,5.2,1.6,0.3,2.9,22.5
10,11,Jayson Tatum,56,36.1,25.7,8.9,20.6,43.4,2.8,8.4,32.9,5.1,6.0,84.8,1.2,7.2,8.4,4.2,1.0,0.7,2.9,24.5
11,12,Devin Booker,51,34.1,25.5,9.3,20.8,44.6,2.6,7.1,36.9,4.3,5.0,86.3,0.8,4.4,5.2,4.5,1.0,0.4,2.4,22.0
12,13,Zach LaVine,47,34.6,24.6,8.7,18.1,48.2,2.9,7.2,39.9,4.2,4.9,86.9,0.3,4.6,4.9,4.5,0.6,0.4,2.7,22.1
13,14,Karl-Anthony Towns,52,34.3,24.4,8.7,16.7,52.2,2.1,5.2,40.9,4.9,5.9,81.9,2.8,6.9,9.7,4.0,1.0,1.1,3.3,28.0
14,15,Jaylen Brown,46,34.3,23.7,8.7,18.8,46.0,2.7,7.5,35.3,3.8,4.9,77.3,0.8,5.7,6.5,3.3,1.1,0.3,2.9,20.8
15,16,Shai Gilgeous-Alexander,43,34.6,22.7,7.8,18.3,42.4,1.6,5.6,27.8,5.6,6.9,81.1,0.7,4.0,4.7,5.5,1.1,0.8,2.4,20.6
16,17,James Harden,44,37.0,22.5,6.6,16.0,41.4,2.3,7.0,33.2,6.9,8.0,86.9,1.0,7.0,8.0,10.2,1.3,0.7,4.8,27.3
17,18,Brandon Ingram,45,34.3,22.1,8.1,18.2,44.8,1.5,4.4,33.3,4.3,5.3,81.6,0.7,5.0,5.7,5.4,0.6,0.5,2.6,20.6
18,19,Pascal Siakam,44,37.8,21.9,8.5,17.1,49.5,1.1,3.1,34.8,3.9,5.3,73.8,2.1,6.6,8.7,5.2,1.3,0.7,2.8,25.0
19,20,Anthony Edwards,53,34.6,21.9,7.8,18.0,43.5,3.1,8.7,35.5,3.1,4.0,77.6,0.9,3.9,4.8,3.6,1.5,0.7,2.8,18.6
20,21,De'Aaron Fox,48,34.4,21.8,8.2,17.6,46.4,1.0,3.8,27.1,4.4,5.9,75.4,0.5,3.4,3.9,5.1,1.1,0.4,2.8,18.7
21,22,Fred VanVleet,50,38.4,21.6,7.3,17.3,41.9,4.0,10.0,40.1,3.1,3.5,87.4,0.8,3.8,4.6,7.0,1.6,0.5,2.7,22.1
22,23,Darius Garland,47,34.6,20.3,7.8,16.3,47.7,2.6,6.8,37.8,2.2,2.4,91.1,0.5,2.8,3.3,8.0,1.2,0.1,3.7,20.4
23,24,LaMelo Ball,53,32.7,20.0,7.2,16.9,42.3,2.7,7.3,36.7,3.1,3.6,85.7,1.6,5.5,7.1,7.5,1.6,0.4,3.2,23.3
24,25,Miles Bridges,58,36.3,20.0,7.4,15.4,48.1,1.8,5.9,30.8,3.3,4.2,79.8,1.2,6.0,7.2,3.6,1.0,0.9,2.0,21.9
25,26,Tyler Herro,46,32.7,20.0,7.4,17.3,42.7,2.5,6.7,37.4,2.7,3.1,87.9,0.6,4.2,4.8,3.9,0.6,0.2,2.8,16.5
26,27,Dejounte Murray,52,34.4,19.9,8.2,17.9,45.9,1.3,4.0,31.9,2.2,2.9,75.8,1.3,7.0,8.3,9.3,2.0,0.3,2.4,27.2
27,28,Julius Randle,57,35.7,19.8,7.1,16.9,42.1,1.6,5.3,30.6,3.9,5.2,76.5,1.8,8.4,10.2,5.2,0.8,0.6,3.5,22.0
28,29,Khris Middleton,48,32.1,19.4,6.6,15.0,43.8,2.3,6.4,35.6,4.0,4.5,88.4,0.6,4.9,5.5,5.3,1.2,0.3,2.9,19.8
29,30,D'Angelo Russell,45,32.2,18.8,6.5,15.9,40.8,3.0,8.6,35.1,2.9,3.6,80.2,0.4,3.1,3.5,7.0,0.9,0.5,2.5,18.0
30,31,Norman Powell,43,32.9,18.8,6.2,13.6,45.7,2.3,5.7,40.7,4.1,5.1,80.7,0.5,2.8,3.3,2.2,1.0,0.4,1.6,15.8
31,32,Domantas Sabonis,51,34.5,18.8,7.1,12.3,57.9,0.7,2.2,31.5,3.9,5.3,73.9,3.3,8.7,12.0,5.1,1.0,0.5,3.0,27.7
32,33,Terry Rozier,51,33.7,18.7,6.8,16.0,42.8,3.0,8.2,36.0,2.0,2.5,81.9,0.8,3.5,4.3,4.3,1.1,0.4,1.3,17.8
33,34,Tobias Harris,49,35.3,18.7,7.3,15.0,48.4,1.2,3.4,34.5,2.9,3.4,85.1,1.1,6.2,7.3,3.7,0.6,0.7,1.8,20.9
34,35,Gary Trent Jr.,48,34.9,18.6,6.7,15.7,43.0,3.2,8.0,39.7,1.9,2.4,81.4,0.3,2.4,2.7,1.9,1.9,0.3,1.0,15.0
35,36,Russell Westbrook,57,34.6,18.3,6.9,15.8,43.7,1.0,3.5,29.9,3.4,5.1,66.8,1.4,6.4,7.8,7.5,1.1,0.3,4.1,20.3
36,37,Nikola Vucevic,52,33.9,18.2,7.7,16.2,47.4,1.5,4.8,31.7,1.3,1.7,75.6,2.0,9.7,11.7,3.6,1.0,1.2,1.9,24.8
37,38,Caris LeVert,43,31.1,18.2,7.0,15.8,44.3,1.5,4.7,32.0,2.7,3.5,76.0,0.7,2.9,3.6,4.4,1.0,0.4,1.9,16.0
38,39,Jrue Holiday,47,33.0,18.1,7.2,14.2,50.7,1.9,4.6,40.7,1.9,2.5,75.9,1.0,3.6,4.6,6.6,1.5,0.5,2.7,21.0
39,40,Jonas Valanciunas,53,31.3,18.0,6.9,12.8,53.8,0.9,2.3,38.5,3.3,4.0,82.5,3.2,8.3,11.5,2.6,0.5,0.9,2.5,24.4
40,41,RJ Barrett,48,33.1,18.0,6.4,15.5,41.2,2.0,5.6,35.4,3.2,4.6,69.5,0.9,4.8,5.7,2.6,0.5,0.3,2.0,14.6
41,42,Desmond Bane,56,30.2,17.9,6.6,14.4,46.0,2.9,6.9,41.9,1.8,1.9,90.7,0.6,3.9,4.5,2.5,1.2,0.4,1.6,16.9
42,43,Bojan Bogdanovic,56,31.0,17.8,6.1,13.4,45.5,2.4,6.4,38.0,3.2,3.7,87.0,0.8,3.5,4.4,1.7,0.5,0.0,1.7,14.9
43,44,Andrew Wiggins,54,31.7,17.7,6.7,13.9,48.1,2.3,5.5,41.4,2.1,3.2,66.1,1.0,3.2,4.2,2.1,1.0,0.7,1.5,16.1
44,45,Cole Anthony,46,33.0,17.7,6.0,15.2,39.8,2.2,6.5,33.7,3.5,4.0,85.5,0.6,5.2,5.8,5.9,0.8,0.3,2.9,17.9
45,46,Christian Wood,54,30.9,17.5,6.4,13.3,48.4,1.8,4.9,37.2,2.9,4.6,61.6,1.7,8.5,10.2,2.2,0.8,0.9,1.9,21.2
46,47,OG Anunoby,42,36.7,17.5,6.6,15.1,43.6,2.4,6.8,35.1,1.9,2.5,74.8,1.6,3.9,5.5,2.6,1.5,0.6,1.8,16.8
47,48,Luguentz Dort,51,32.6,17.2,5.7,14.2,40.4,2.5,7.7,33.2,3.2,3.7,84.3,0.7,3.4,4.2,1.7,0.9,0.4,1.7,13.5
48,49,Harrison Barnes,55,33.7,17.0,5.2,11.1,46.6,2.0,4.8,40.9,4.7,5.6,82.8,1.1,5.0,6.1,2.5,0.7,0.2,1.6,17.9
49,50,Anfernee Simons,53,29.3,17.0,6.2,13.8,44.7,3.1,7.6,40.0,1.6,1.8,88.5,0.5,2.2,2.7,3.9,0.5,0.1,1.9,14.5
